,Electricity [kWh],Natural Gas [kWh],Additional Fuel [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
Heating,653.59,0.00,0.00,0.00,0.00,0.00
Cooling,33911.64,0.00,0.00,0.00,0.00,0.00
Interior Lighting,8505.52,0.00,0.00,0.00,0.00,0.00
Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00
Interior Equipment,13979.40,0.00,0.00,0.00,0.00,0.00
Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00
Fans,2319.87,0.00,0.00,0.00,0.00,0.00
Pumps,0.00,0.00,0.00,0.00,0.00,0.00
Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00
Humidification,0.00,0.00,0.00,0.00,0.00,0.00
Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00
Water Systems,0.00,0.00,0.00,0.00,0.00,0.00
Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00
Generators,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,
Total End Uses,59370.03,0.00,0.00,0.00,0.00,0.00
